County,Per_Obese,FIPS,State,PCT_LACCESS_POP15,PCT_LACCESS_LOWI10,PCT_LACCESS_HHNV15
Alamance,34%,37001,NC,22.92153078,11.3023869,2.441776617
Alexande,,37003,NC,6.530453819,2.270291635,3.08633878
Alleghan,,37005,NC,3.861072369,1.36273635,5.271228867
Anson,35%,37007,NC,6.55692212,3.062507335,6.393950635
Ashe,26%,37009,NC,5.24766411,2.489243196,5.577290281
Avery,26%,37011,NC,0.653316306,0,4.549462315
Beaufort,33%,37013,NC,10.3588908,5.088411009,3.889337796
Bertie,36%,37015,NC,5.511438715,4.747871044,7.309215576
Bladen,35%,37017,NC,6.481550553,3.223994925,4.455899628
Brunswic,,37019,NC,15.54553612,4.846614883,3.549722885
Buncombe,23%,37021,NC,21.610247,8.64738557,2.310002119
Burke,32%,37023,NC,29.57341285,12.21653208,5.309865453
Cabarrus,28%,37025,NC,22.99707413,5.795144342,2.034001958
Caldwell,31%,37027,NC,35.98172226,15.71530654,3.423979053
Camden,32%,37029,NC,4.397871903,0.981126736,3.07966255
Carteret,26%,37031,NC,25.18475194,6.974055468,2.848872379
Caswell,36%,37033,NC,7.822722365,6.125264676,6.017968112
Catawba,31%,37035,NC,21.46750204,9.892266903,2.154247737
Chatham,27%,37037,NC,4.845340551,3.47771262,3.665066993
Cherokee,29%,37039,NC,7.54474724,0.121930826,4.368498979
Chowan,32%,37041,NC,23.13513771,7.391829739,5.346020525
Clay,29%,37043,NC,3.236461819,1.633954981,3.767351484
Clevelan,,37045,NC,16.68974238,5.560004724,3.834214899
Columbus,31%,37047,NC,4.385175185,1.37849637,4.738447509
Craven,30%,37049,NC,28.03363479,6.231038037,3.084559267
Cumberla,,37051,NC,30.16608027,12.79758069,2.519231525
Currituc,,37053,NC,13.13521239,2.754951087,2.411303726
Dare,28%,37055,NC,30.58733803,9.921220586,2.040635495
Davidson,30%,37057,NC,16.55715762,6.409578282,2.639711028
Davie,28%,37059,NC,10.87902871,2.703899011,3.6332808
Duplin,29%,37061,NC,1.944166068,0.817056903,5.7211995
Durham,28%,37063,NC,25.87578617,6.24687874,1.761460452
Edgecomb,,37065,NC,12.97790878,9.485459163,4.120725368
Forsyth,29%,37067,NC,36.58833065,12.03363768,2.738416382
Franklin,32%,37069,NC,4.477869989,2.173516896,4.991122088
Gaston,34%,37071,NC,28.29086288,10.68725872,2.496672011
Gates,34%,37073,NC,0.039059205,0.019191129,3.227868728
Graham,31%,37075,NC,2.838066559,1.71279158,4.403747368
Granvill,,37077,NC,16.28619179,2.732445849,2.997663019
Greene,34%,37079,NC,,0,4.604010776
Guilford,28%,37081,NC,20.23380872,6.688385449,1.955291691
Halifax,39%,37083,NC,16.52866394,9.571837433,6.543197709
Harnett,33%,37085,NC,8.757052439,4.067403959,2.950534771
Haywood,26%,37087,NC,21.58918399,6.89388258,2.400499529
Henderso,,37089,NC,21.71771412,5.2358243,2.782937269
Hertford,35%,37091,NC,10.1308583,6.309548506,7.082466474
Hoke,35%,37093,NC,21.11900657,9.488826009,4.525352689
Hyde,30%,37095,NC,89.96253619,25.71928497,10.36469028
Iredell,28%,37097,NC,15.27967062,5.433217102,2.223227264
Jackson,32%,37099,NC,18.04408634,8.17944771,4.259163751
Johnston,35%,37101,NC,5.15184506,1.658731868,2.629506685
Jones,34%,37103,NC,0.003080741,0.001228397,5.327611993
Lee,29%,37105,NC,14.76709666,9.414002631,2.431885985
Lenoir,36%,37107,NC,12.74922233,4.843593739,3.063522868
Lincoln,29%,37109,NC,14.26401445,5.0922181,2.447196162
Macon,25%,37113,NC,6.526401153,2.38715292,4.46193273
Madison,25%,37115,NC,12.2055098,3.558647738,4.326227377
Martin,36%,37117,NC,3.712026276,1.025647929,5.275076612
McDowell,30%,37111,NC,4.279722482,3.284319423,3.648465874
Mecklenb,,37119,NC,18.26814833,6.569616385,1.124630667
Mitchell,29%,37121,NC,,2.55284789,5.888540456
Montgome,,37123,NC,1.686768741,0.304525558,7.250980278
Moore,28%,37125,NC,20.32422465,6.021148684,2.988157823
Nash,31%,37127,NC,14.41803601,4.041505937,3.720401753
New Hano,,37129,NC,30.17069192,7.882857877,1.128998585
Northamp,,37131,NC,11.6530958,2.689746985,10.74516397
Onslow,26%,37133,NC,30.34970519,10.95485246,2.719692672
Orange,20%,37135,NC,19.05533944,11.3632814,2.391937618
Pamlico,32%,37137,NC,5.493146359,2.332514436,3.46180499
Pasquota,,37139,NC,25.07247486,9.117305185,7.550758628
Pender,29%,37141,NC,6.670974345,3.343092121,4.972754137
Perquima,,37143,NC,3.401146931,0.535664495,8.363870148
Person,33%,37145,NC,10.25974359,2.580198408,4.671045152
Pitt,34%,37147,NC,9.231674694,3.163911345,2.229902664
Polk,27%,37149,NC,0.353169717,0.157033159,4.048838188
Randolph,30%,37151,NC,19.25041477,7.156786779,3.266413841
Richmond,37%,37153,NC,13.13941533,4.989171039,3.827062002
Robeson,39%,37155,NC,9.350313589,6.049396388,6.157670504
Rockingh,,37157,NC,20.87272896,11.48006585,5.039428313
Rowan,34%,37159,NC,24.68003833,8.845813941,2.889199516
Rutherfo,,37161,NC,21.47447018,9.663434198,4.393789747
Sampson,39%,37163,NC,4.280386494,2.235117565,5.669621745
Scotland,37%,37165,NC,16.22842632,7.587761232,5.023917255
Stanly,30%,37167,NC,5.571893423,2.520357516,3.269859335
Stokes,34%,37169,NC,17.50834829,5.679327563,3.883811162
Surry,29%,37171,NC,7.73711828,3.374193672,3.556082527
Swain,35%,37173,NC,1.532198154,2.748927298,4.121392427
Transylv,,37175,NC,7.154221928,3.127927604,3.430209134
Tyrrell,31%,37177,NC,11.11110883,5.849372581,6.096519192
Union,27%,37179,NC,15.68815791,3.522125606,1.42055981
Vance,37%,37181,NC,9.849699773,4.682864463,3.855993196
Wake,25%,37183,NC,18.91591684,4.230302802,1.032153215
Warren,38%,37185,NC,7.288276867,4.4680158,9.036275924
Washingt,,37187,NC,26.8289864,9.74171936,7.920654421
Watauga,26%,37189,NC,6.692253532,3.33824673,2.794237998
Wayne,35%,37191,NC,18.308844,8.215076758,3.812821669
Wilkes,26%,37193,NC,11.2223789,5.543730342,4.913775489
Wilson,38%,37195,NC,3.666003141,2.824724987,1.616005438
Yadkin,32%,37197,NC,1.899787949,0.42027391,4.012116507
Yancey,27%,37199,NC,1.065015397,0.000150844,4.686089294
