YearEnd,LocationAbbr,Data_Value,Low_Confidence_Limit,High_Confidence_Limit
2017,US,36,35.7,36.4
2017,AL,44.9,43.1,46.6
2017,AK,36.9,34,39.9
2017,AZ,37.2,36.1,38.3
2017,AR,44.7,42.1,47.3
2017,CA,32.5,31.1,33.9
2017,CO,33,31.8,34.3
2017,CT,31.5,30.1,32.8
2017,DE,35.4,33.2,37.6
2017,DC,30.6,28.7,32.7
2017,FL,34.4,32.9,36
2017,GA,38.6,37,40.3
2017,HI,37,35.5,38.6
2017,ID,35.4,33.5,37.4
2017,IL,33.3,31.6,35
2017,IN,40.7,39.5,41.8
2017,IA,35.6,34.3,37
2017,KS,37.6,36.7,38.4
2017,KY,42.7,40.9,44.5
2017,LA,45,43.1,47
2017,ME,31.4,29.9,32.9
2017,MD,34.3,33,35.7
2017,MA,31.2,29.4,33.1
2017,MI,36.4,35.2,37.6
2017,MN,32.3,31.3,33.3
2017,MS,46.3,44.1,48.5
2017,MO,39.9,38.3,41.6
2017,MT,36.4,34.6,38.2
2017,NE,36.9,35.6,38.1
2017,NV,37.6,35.1,40.1
2017,NH,30.3,28.4,32.3
2017,NJ,33.7,32.1,35.2
2017,NM,37.4,35.7,39.3
2017,NY,33.5,32.2,34.7
2017,NC,37.4,35.5,39.3
2017,ND,36.8,35.2,38.4
2017,OH,37.7,36.4,39.1
2017,OK,45.8,44.1,47.5
2017,OR,33,31.4,34.7
2017,PA,34.1,32.5,35.6
2017,RI,33.7,31.7,35.7
2017,SC,40.6,39.2,41.9
2017,SD,36.9,34.7,39.2
2017,TN,38.9,37,40.8
2017,TX,39.4,37.5,41.4
2017,UT,32.1,30.9,33.4
2017,VT,29.7,28.1,31.4
2017,VA,36.6,35.2,38.1
2017,WA,32.1,31,33.2
2017,WV,44.9,43.2,46.7
2017,WI,32.4,30.7,34.2
2017,WY,37.7,35.8,39.6
